Energy (keV),70.txt
52.4390625,5031.347183
52.59375,4985.263241
52.7484375,4939.320974
52.903125,4893.531421
53.0578125,4847.903189
53.2125,4802.45386
53.3671875,4757.205153
53.521875,4712.157479
53.6765625,4667.295551
53.83125,4622.600499
53.9859375,4578.033664
54.140625,4533.560608
54.2953125,4489.158313
54.45,4444.79674
54.6046875,4400.423171
54.759375,4355.997079
54.9140625,4311.50058
55.06875,4266.918806
55.2234375,4222.252806
55.378125,4177.500938
55.5328125,4132.65233
55.6875,4087.704921
55.8421875,4042.655153
55.996875,3997.515215
56.1515625,3952.320114
56.30625,3907.113423
56.4609375,3861.913553
56.615625,3816.726166
56.7703125,3771.560875
56.925,3726.415302
57.0796875,3681.31996
57.234375,3636.300052
57.3890625,3591.343604
57.54375,3546.434944
57.6984375,3501.570354
57.853125,3456.753124
58.0078125,3411.989172
58.1625,3367.288228
58.3171875,3322.610856
58.471875,3277.919317
58.6265625,3233.209168
58.78125,3188.466545
58.9359375,3143.721175
59.090625,3099.010878
59.2453125,3054.348529
59.4,3009.764025
59.5546875,2965.299364
59.709375,2920.988882
59.8640625,2876.867022
60.01875,2832.971416
60.1734375,2789.301138
60.328125,2745.84934
60.4828125,2702.623021
60.6375,2659.611993
60.7921875,2616.844023
60.946875,2574.331074
61.1015625,2532.033606
61.25625,2489.908892
61.4109375,2447.919372
61.565625,2406.036881
61.7203125,2364.243975
61.875,2322.527754
62.0296875,2280.828926
62.184375,2239.097525
62.3390625,2197.32592
62.49375,2155.507869
62.6484375,2113.647342
62.803125,2071.744634
62.9578125,2029.788257
63.1125,1987.772759
63.2671875,1945.742899
63.421875,1903.741713
63.5765625,1861.786607
63.73125,1819.908222
63.8859375,1778.068888
64.040625,1736.216767
64.1953125,1694.332575
64.35,1652.369406
64.5046875,1610.278816
64.659375,1568.022331
64.8140625,1525.548395
64.96875,1482.801472
65.1234375,1439.778628
65.278125,1396.485824
65.4328125,1352.91288
65.5875,1309.072927
65.7421875,1264.770961
65.896875,1219.903514
66.0515625,1174.595526
66.20625,1128.965469
66.3609375,1083.273247
66.515625,1037.767095
66.6703125,992.5846965
66.825,947.9117011
66.9796875,904.1187787
67.134375,861.5078289
67.2890625,820.2332164
67.44375,780.4461882
67.5984375,742.1454871
67.753125,705.3306233
67.9078125,670.0821401
68.0625,636.4050734
68.2171875,605.0620991
68.371875,576.3679198
68.5265625,549.7021228
68.68125,524.4292699
68.8359375,497.9619867
68.990625,468.5097652
69.1453125,436.2280972
69.3,401.0308899
69.4546875,364.5778374
69.609375,348.0300149
69.7640625,314.5117091
69.91875,280.4298554
70.0734375,245.7844537
70.228125,210.5755041
70.3828125,174.8030067
70.5375,138.4669612
70.6921875,101.5673679
70.846875,64.10422666
71.0015625,26.07753748
